crime,location,date,sex,victim nationality,victim age,time,weather,Latitude,Longitude,Holiday_Name,Is_Holiday,Land_Use_Type,GN division,GN_pcode,GN_population,GN_distance_m
burglary,mulgampola,31.12.2019,F,Muslim,54,8:17,Cloudy,7.280543543,80.61650015,Non-Holiday,FALSE,General Urban,Welata,LK2130170,21826,311.8
burglary,car park,04.01.2020,M,Sinhala,42,2:00,Rainy,7.283444864,80.61938468,Non-Holiday,FALSE,Commercial,Katukele West,LK2130105,8913,352.4
theft,panideniya bus stand,08.01.2020,F,Sinhala,20,21:01,Rainy,7.256425008,80.59046053,Eid al-Adha,TRUE,Commercial,Penideniya,LK2139135,16411,518.6
vehicle theft,aniwatte,10.01.2020,M,Sinhala,29,12:10,Cloudy,7.290057544,80.62243842,Adhi Vap Full Moon Poya Day,TRUE,General Urban,Aniwatta East,LK2130100,1107,381.5
robbery,dutugamunu mawatha,11.01.2020,M,Sinhala,59,2:39,Rainy,7.312343695,80.64568676,Non-Holiday,FALSE,General Urban,Aruppala East,LK2130050,1293,322.6
burglary,car park,12.01.2020,M,Sinhala,42,1:19,Rainy,7.281438574,80.61841263,Non-Holiday,FALSE,Commercial,Suduhumpala West,LK2130165,18808,475.8
vehicle theft,bus stand ,15.01.2020,M,Sinhala,45,19:57,Cloudy,7.300711561,80.63795042,Tamil Thai Pongal Day,TRUE,Commercial,Mahaiyawa,LK2130065,11543,408.3
robbery,mahamaya primary,16.01.2020,M,Sinhala,36,9:18,Cloudy,7.290145398,80.64367192,Non-Holiday,FALSE,Commercial,Boowelikada,LK2130135,2310,412.5
burglary,bahirawakanda,18.01.2020,F,Sinhala,47,10:58,Cloudy,7.29693451,80.63062487,Non-Holiday,FALSE,Residential,Asgiriya,LK2130085,1314,359
theft,thannekumbura,18.01.2020,M,Sinhala,27,16:13,Cloudy,7.28228949,80.66269593,Non-Holiday,FALSE,General Urban,Thennakumbura,LK2130240,19383,358.6
drugs,dangolla junction,19.01.2020,M,muslim,26,10:39,Rainy,7.268693646,80.60659495,Non-Holiday,FALSE,Commercial,Bowala,LK2130205,2430,736.2
robbery,KCC,19.01.2020,M,Sinhala,51,12:45,Rainy,7.292598313,80.63628261,Non-Holiday,FALSE,Commercial,Mahanuwara,LK2130120,11613,423
robbery,lewella bangalaawatte,20.01.2020,M,Sinhala,73,10:47,Rainy,7.298136629,80.649447,Non-Holiday,FALSE,General Urban,Thalwatta,LK2130130,19105,332.6
robbery,meekanuwa watarauma ,22.01.2020,F,Sinhala,30,0:15,Rainy,7.280429187,80.65369126,Non-Holiday,FALSE,General Urban,Ampitiya Udagama North,LK2130235,931,389.4
theft,wattaranthanne ground,24.01.2020,M,Sinhala,42,7:42,Cloudy,7.250643827,80.69148091,Non-Holiday,FALSE,Residential,Thalathuoya East,LK2145090,18993,211.2
burglary,asgiriya stadium,24.01.2020,M,Sinhala,25,22:43,Cloudy,7.299962801,80.63184281,Non-Holiday,FALSE,Commercial,Poorna Watta West,LK2130080,17006,259.7
drugs,gatambe junction,26.01.2020,M,Sinhala,21,22:44,Cloudy,7.270430911,80.60357089,Non-Holiday,FALSE,Commercial,Bowala,LK2130205,2430,1018.8
theft,dalada maligawa,27.01.2020,M,Sinhala,36,8:10,Cloudy,7.293399477,80.6406148,Non-Holiday,FALSE,Commercial,Boowelikada,LK2130135,2310,341.8
drugs,yatinuwara street,27.01.2020,M,Sinhala,25,8:28,Cloudy,7.296164825,80.63638404,Non-Holiday,FALSE,General Urban,Mahanuwara,LK2130120,11613,34.8
drugs,hanathane kadurata malshalawa,29.01.2020,M,Muslim,26,11:06,Cloudy,7.287307222,80.63520283,Non-Holiday,FALSE,Commercial,Bogambara,LK2130145,2198,249.6
drugs,pattiyakale watte,31.01.2020,M,Sinhala,17,21:09,Cloudy,7.291127298,80.63407313,Non-Holiday,FALSE,General Urban,Bogambara,LK2130145,2198,414
theft,pattiyakale watte,01.02.2020,M,Sinhala,21,19:42,Cloudy,7.29178763,80.63273207,Non-Holiday,FALSE,General Urban,Ihala Katukele,LK2130115,6925,283.3
drugs,pattiyakale watte,03.02.2020,M,Sinhala,17,20:21,Cloudy,7.290927274,80.63366558,Non-Holiday,FALSE,General Urban,Bogambara,LK2130145,2198,381.2
vehicle theft,Municipal indoor sports complex,08.02.2020,F,sinhala,44,5:30,Cloudy,7.285965471,80.6255861,Non-Holiday,FALSE,Commercial,Suduhumpala East,LK2130160,18807,400.6
theft,bogambara bus stand,08.02.2020,M,tamil ,42,23:39,Cloudy,7.288813892,80.63411612,Non-Holiday,FALSE,Commercial,Bogambara,LK2130145,2198,188.2
