crime,location,date,sex,victim_ethnicity,victim_age,time,weather,latitude,longitude,holiday_name,is_holiday,land_use_type,gn_division,gn_pcode,gn_population,gn_distance_m,victim_ethnicity ,DS_Division,Avg_Household_Income,Unemployment_Rate,Building_Density,Road_Density,Land_Area_Density
burglary,mulgampola,12/31/2019,f,muslim,54,8:17:00,Cloudy,7.280543543,80.61650015,Non-Holiday,0,General Urban,Welata,LK2130170,21826,311.8,muslim,Gangawata Korale,124797,4.55,740.9,29.5,16.06
burglary,car park,1/4/2020,m,sinhala,42,2:00:00,Rainy,7.283444864,80.61938468,Non-Holiday,0,Commercial,Katukele West,LK2130105,8913,352.4,sinhala,Gangawata Korale,111768,4.53,892.7,29.8,19.76
theft,bus stand,1/8/2020,f,sinhala,20,21:01:00,Rainy,7.256425008,80.59046053,Eid al-Adha,1,Commercial,Penideniya,LK2139135,16411,518.6,sinhala,Udunuwara,69786,5.57,548.4,16.6,11.66
vehicle theft,aniwatte,1/10/2020,m,sinhala,29,12:10:00,Cloudy,7.290057544,80.62243842,Adhi Vap Full Moon Poya Day,1,General Urban,Aniwatta East,LK2130100,1107,381.5,sinhala,Gangawata Korale,107410,4.68,881.2,24.1,17.18
robbery,dutugamunu mawatha,1/11/2020,m,sinhala,59,2:39:00,Rainy,7.312343695,80.64568676,Non-Holiday,0,General Urban,Aruppala East,LK2130050,1293,322.6,sinhala,Gangawata Korale,120663,4.71,585.4,24,9.45
burglary,car park,1/12/2020,m,sinhala,42,1:19:00,Rainy,7.281438574,80.61841263,Non-Holiday,0,Commercial,Suduhumpala West,LK2130165,18808,475.8,sinhala,Gangawata Korale,108384,4.32,775.4,29.3,17.81
vehicle theft,bus stand,1/15/2020,m,sinhala,45,19:57:00,Cloudy,7.300711561,80.63795042,Tamil Thai Pongal Day,1,Commercial,Mahaiyawa,LK2130065,11543,408.3,sinhala,Gangawata Korale,114184,4.6,665.7,11.7,13.87
robbery,mahamaya primary,1/16/2020,m,sinhala,36,9:18:00,Cloudy,7.290145398,80.64367192,Non-Holiday,0,Commercial,Boowelikada,LK2130135,2310,412.5,sinhala,Gangawata Korale,112043,4.58,576.4,16.9,14.54
burglary,bahirawakanda,1/18/2020,f,sinhala,47,10:58:00,Cloudy,7.29693451,80.63062487,Non-Holiday,0,Residential,Asgiriya,LK2130085,1314,359,sinhala,Gangawata Korale,109032,4.7,999.8,17.5,14.11
theft,thannekumbura,1/18/2020,m,sinhala,27,16:13:00,Cloudy,7.28228949,80.66269593,Non-Holiday,0,General Urban,Thennakumbura,LK2130240,19383,358.6,sinhala,Gangawata Korale,118592,4.28,48.5,4.2,1.15
drugs,dangolla junction,1/19/2020,m,muslim,26,10:39:00,Rainy,7.268693646,80.60659495,Non-Holiday,0,Commercial,Bowala,LK2130205,2430,736.2,muslim,Gangawata Korale,116272,4.36,510.1,20.2,11.31
robbery,kandy city centre,1/19/2020,m,sinhala,51,12:45:00,Rainy,7.292598313,80.63628261,Non-Holiday,0,Commercial,Mahanuwara,LK2130120,11613,423,sinhala,Gangawata Korale,119495,4.31,800.9,18.5,20
robbery,lewella bangalaawatte,1/20/2020,m,sinhala,73,10:47:00,Rainy,7.298136629,80.649447,Non-Holiday,0,General Urban,Thalwatta,LK2130130,19105,332.6,sinhala,Gangawata Korale,105434,4.53,505,14.2,10.14
robbery,meekanuwa watarauma,1/22/2020,f,sinhala,30,0:15:00,Rainy,7.280429187,80.65369126,Non-Holiday,0,General Urban,Ampitiya Udagama North,LK2130235,931,389.4,sinhala,Gangawata Korale,114102,4.43,561.1,6.9,8.96
theft,wattaranthanne ground,1/24/2020,m,sinhala,42,7:42:00,Cloudy,7.250643827,80.69148091,Non-Holiday,0,Residential,Thalathuoya East,LK2145090,18993,211.2,sinhala,Pathahewaheta,53713,7.49,176,7.7,2.99
burglary,asgiriya stadium,1/24/2020,m,sinhala,25,22:43:00,Cloudy,7.299962801,80.63184281,Non-Holiday,0,Commercial,Poorna Watta West,LK2130080,17006,259.7,sinhala,Gangawata Korale,111754,4.6,1123.5,16.6,15.36
