crime,location,date,sex,victim_ethnicity,victim_age,time,weather,latitude,longitude,holiday_name,is_holiday,land_use_type,gn_division,gn_pcode,gn_population,gn_distance_m,victim_ethnicity ,status_report
burglary,mulgampola,2019-12-31,f,muslim,54,08:17:00,Cloudy,7.280543543,80.61650015,Non-Holiday,0,General Urban,Welata,LK2130170,21826,311.8,muslim,Valid
burglary,car park,2020-01-04,m,sinhala,42,02:00:00,Rainy,7.283444864,80.61938468,Non-Holiday,0,Commercial,Katukele West,LK2130105,8913,352.4,sinhala,Valid
theft,bus stand,2020-01-08,f,sinhala,20,21:01:00,Rainy,7.256425008,80.59046053,Eid al-Adha,1,Commercial,Penideniya,LK2139135,16411,518.6,sinhala,Valid
vehicle theft,aniwatte,2020-01-10,m,sinhala,29,12:10:00,Cloudy,7.290057544,80.62243842,Adhi Vap Full Moon Poya Day,1,General Urban,Aniwatta East,LK2130100,1107,381.5,sinhala,Valid
robbery,dutugamunu mawatha,2020-01-11,m,sinhala,59,02:39:00,Rainy,7.312343695,80.64568676,Non-Holiday,0,General Urban,Aruppala East,LK2130050,1293,322.6,sinhala,Valid
burglary,car park,2020-01-12,m,sinhala,42,01:19:00,Rainy,7.281438574,80.61841263,Non-Holiday,0,Commercial,Suduhumpala West,LK2130165,18808,475.8,sinhala,Valid
vehicle theft,bus stand,2020-01-15,m,sinhala,45,19:57:00,Cloudy,7.300711561,80.63795042,Tamil Thai Pongal Day,1,Commercial,Mahaiyawa,LK2130065,11543,408.3,sinhala,Valid
robbery,mahamaya primary,2020-01-16,m,sinhala,36,09:18:00,Cloudy,7.290145398,80.64367192,Non-Holiday,0,Commercial,Boowelikada,LK2130135,2310,412.5,sinhala,Valid
burglary,bahirawakanda,2020-01-18,f,sinhala,47,10:58:00,Cloudy,7.29693451,80.63062487,Non-Holiday,0,Residential,Asgiriya,LK2130085,1314,359.0,sinhala,Valid
theft,thannekumbura,2020-01-18,m,sinhala,27,16:13:00,Cloudy,7.28228949,80.66269593,Non-Holiday,0,General Urban,Thennakumbura,LK2130240,19383,358.6,sinhala,Valid
