feature,mean_abs_shap
unemployment_rate,0.05612761436183083
avg_income,0.05032972090333162
total_crimes_roll8,0.04400806237690576
year,0.0331482689340461
rainy_ratio_roll4,0.023720360307537706
week_cos,0.02145639371019819
avg_victim_age_lag2,0.017115735003805175
total_crimes_trend_4v8,0.016209166826109036
building_density,0.013544076097961415
avg_victim_age_lag1,0.01338901077237368
avg_victim_age_roll4,0.013171533264282883
road_density,0.01296159960821459
land_area_density,0.012506682161208661
log_population,0.011666295742914017
urban_ratio_roll4,0.009444533426367458
week_of_year,0.009363484497900204
total_crimes_roll4,0.00868093375349233
week_sin,0.008274276772386168
burglary_count_roll8,0.007623625646260597
distance_km,0.004046086741691687
total_crimes_lag4,0.002103147204614093
total_crimes_lag1,0.0017644629831287536
rainy_ratio_lag1,0.0017236016552610164
burglary_count_roll4,0.0014610795374371695
female_victim_ratio_roll4,0.0013304694685066928
burglary_count_trend_4v8,0.0011011509139133282
rainy_ratio_lag2,0.0006039761138669324
total_crimes_lag2,0.0005383213331670064
urban_ratio_lag1,0.000491103577186319
urban_ratio_lag2,0.00030017610447642456
burglary_count_lag2,0.00028838602473837727
burglary_count_lag4,0.00011804035843797883
holiday_ratio_lag1,9.905320028267434e-05
burglary_count_lag1,7.726711522071039e-05
holiday_ratio_roll4,7.656843971507428e-05
female_victim_ratio_lag2,7.37625621453282e-05
female_victim_ratio_lag1,6.519363277472065e-05
holiday_ratio_lag2,3.842448113764877e-05
