feature,mean_abs_shap
unemployment_rate,0.11183258550008618
total_crimes_roll8,0.08025961963420865
log_population,0.07142232324887486
year,0.0423788714109847
land_area_density,0.027021990428323605
road_density,0.022274305228975593
avg_income,0.016903101720634688
avg_victim_age_lag1,0.016502366081879355
avg_victim_age_lag2,0.01629258247113488
avg_victim_age_roll4,0.013114548965025317
week_cos,0.012896630152266164
total_crimes_trend_4v8,0.010924177847855243
building_density,0.010113549029268124
week_of_year,0.007951391797817512
week_sin,0.006686346916287225
rainy_ratio_roll4,0.005334999113510409
total_crimes_roll4,0.004147084206596117
distance_km,0.0028864030919878445
urban_ratio_roll4,0.0017601245160241434
female_victim_ratio_roll4,0.0012442599609992445
total_crimes_lag4,0.0009891816775541742
drugs_count_roll8,0.0008683037241897904
drugs_count_trend_4v8,0.0006346976161089202
urban_ratio_lag1,0.000485627521269403
total_crimes_lag2,0.00041860133632449505
urban_ratio_lag2,0.00034634751431610755
rainy_ratio_lag1,0.0002843578364796375
rainy_ratio_lag2,0.00025899036779299524
drugs_count_roll4,0.00020802368716016029
female_victim_ratio_lag1,0.00015512098862510378
total_crimes_lag1,0.00013614845501444919
drugs_count_lag1,0.00013588916463289262
holiday_ratio_lag2,0.00013445717321859161
holiday_ratio_roll4,8.239687513289368e-05
female_victim_ratio_lag2,7.746206679276709e-05
holiday_ratio_lag1,2.4249038109551503e-05
drugs_count_lag2,1.3402256589626521e-05
drugs_count_lag4,1.1143986614901295e-05
