feature,mean_abs_shap
unemployment_rate,0.06174162222347052
total_crimes_roll8,0.05488496767620427
year,0.05088578602694867
log_population,0.049419857832088215
avg_income,0.03676434999089275
building_density,0.031086213983823417
land_area_density,0.02948554516485362
total_crimes_roll4,0.02607354109987576
road_density,0.016285229812367102
week_cos,0.012011320469749969
avg_victim_age_lag1,0.011920745668117776
week_of_year,0.010466948361147128
distance_km,0.008761406834123409
avg_victim_age_roll4,0.008084171544885324
total_crimes_trend_4v8,0.007276287973714435
week_sin,0.006909343873132582
avg_victim_age_lag2,0.006392787084099223
rainy_ratio_roll4,0.005782777124699739
urban_ratio_roll4,0.0014484630860029089
robbery_count_roll8,0.0006126512246172122
total_crimes_lag4,0.000516502783544346
robbery_count_trend_4v8,0.000469494719629169
female_victim_ratio_roll4,0.00046379569121438946
total_crimes_lag1,0.00034747710912057494
female_victim_ratio_lag2,0.0003375353838850473
holiday_ratio_roll4,0.0002482350131965854
female_victim_ratio_lag1,0.00023239864866013296
robbery_count_lag2,0.00020024936250866303
robbery_count_lag4,0.0001809851813515101
rainy_ratio_lag1,0.0001674439811674278
robbery_count_lag1,0.00016340270082403424
urban_ratio_lag1,0.0001609310709947752
total_crimes_lag2,0.00016033371183911716
robbery_count_roll4,0.00014880690785912427
urban_ratio_lag2,0.00013501652874930469
rainy_ratio_lag2,0.00013431087536296834
holiday_ratio_lag2,9.640173944464503e-05
holiday_ratio_lag1,7.180490882310535e-05
