feature,mean_abs_shap
year,0.09211803083299983
log_population,0.0736081230204283
total_crimes_roll8,0.06310126961663003
unemployment_rate,0.053539609307503726
avg_income,0.04135538036921092
week_of_year,0.019190846825535252
road_density,0.01545070919799417
building_density,0.011551354813204913
week_sin,0.011517363862565553
land_area_density,0.009719997633348488
total_crimes_trend_4v8,0.008873388827195038
week_cos,0.008750575206423722
avg_victim_age_lag2,0.008541532500366286
avg_victim_age_lag1,0.006507816418447499
avg_victim_age_roll4,0.004719028086778838
distance_km,0.003944578370484306
stabbing_count_trend_4v8,0.003503970086253252
total_crimes_roll4,0.0034657680912456366
urban_ratio_roll4,0.0018697762669397735
rainy_ratio_roll4,0.0016691390290897057
female_victim_ratio_roll4,0.0014900505080113983
urban_ratio_lag1,0.0010401484620748108
stabbing_count_roll8,0.0008103166984400737
rainy_ratio_lag1,0.0005854890526623195
total_crimes_lag1,0.00035056585900854724
total_crimes_lag2,0.00032091340741920236
stabbing_count_roll4,0.0002479630257529222
total_crimes_lag4,0.00023334687554425244
urban_ratio_lag2,0.00018343621750333585
female_victim_ratio_lag2,0.00017420893736074333
female_victim_ratio_lag1,0.00016302124382919139
holiday_ratio_lag1,0.00012661500962332908
holiday_ratio_lag2,0.00010222657242842415
rainy_ratio_lag2,6.17901927619205e-05
holiday_ratio_roll4,5.57686653370116e-05
stabbing_count_lag1,3.6349778612525224e-05
stabbing_count_lag4,2.6785130053398252e-05
stabbing_count_lag2,9.558682491279497e-06
