feature,mean_abs_shap
log_population,0.06931718372895143
avg_income,0.05398005925180804
total_crimes_roll8,0.042629421602190534
unemployment_rate,0.03507465290645091
year,0.028563363344481507
building_density,0.020173118960268403
avg_victim_age_lag2,0.01801364292493136
land_area_density,0.017625887556431828
avg_victim_age_lag1,0.017229577700960733
avg_victim_age_roll4,0.016541345019010868
total_crimes_trend_4v8,0.011644116385315144
road_density,0.011437110978546607
urban_ratio_roll4,0.009971678577596673
week_sin,0.009871303074984095
rainy_ratio_roll4,0.008923987928822976
week_cos,0.008878078998296743
total_crimes_roll4,0.008320235059831385
distance_km,0.008306464087270767
theft_count_roll8,0.004978194391384632
week_of_year,0.004884566361848298
total_crimes_lag4,0.003066622801200424
rainy_ratio_lag1,0.0012668984081116805
female_victim_ratio_roll4,0.0012395742520300707
total_crimes_lag1,0.0010110721805749246
theft_count_trend_4v8,0.0008808345702034668
total_crimes_lag2,0.0007909858201404332
urban_ratio_lag1,0.0007830181498827407
theft_count_roll4,0.0005916277228393213
rainy_ratio_lag2,0.0004085361481517251
urban_ratio_lag2,0.00037171917424838645
theft_count_lag1,0.00035636368206140123
female_victim_ratio_lag2,0.00014347742013506957
theft_count_lag2,0.00012225891304425113
holiday_ratio_roll4,7.378808539880312e-05
theft_count_lag4,5.961334081405932e-05
female_victim_ratio_lag1,5.65175548742608e-05
holiday_ratio_lag1,1.4311947215549456e-05
holiday_ratio_lag2,3.5690823161425837e-06
