feature,mean_abs_shap
log_population,0.11677688782444147
avg_income,0.09371441003862377
unemployment_rate,0.060823935732125654
total_crimes_roll8,0.039185825929352686
year,0.039131536944924224
distance_km,0.016927113606776657
land_area_density,0.016324710084663626
week_cos,0.012477742715989393
avg_victim_age_lag2,0.012260880724780961
week_sin,0.012187282300873079
avg_victim_age_roll4,0.012046049371899265
rainy_ratio_roll4,0.011204311438500888
avg_victim_age_lag1,0.009956814137146832
road_density,0.008299102532643389
building_density,0.007772331250834873
week_of_year,0.00732958006207582
total_crimes_roll4,0.006896978403931735
total_crimes_trend_4v8,0.006015092557881702
rainy_ratio_lag1,0.0020145505312531265
urban_ratio_roll4,0.0014646356097092232
female_victim_ratio_lag2,0.0010911840018246737
total_crimes_lag4,0.0010182971094493975
holiday_ratio_roll4,0.0009890798920515896
urban_ratio_lag1,0.0008703973377748876
total_crimes_lag1,0.0006237863933953412
female_victim_ratio_roll4,0.0005579573287668265
total_crimes_lag2,0.00036036356438645027
female_victim_ratio_lag1,0.0003479337171698542
vehicle_count_lag4,0.00027379640862213296
urban_ratio_lag2,0.0002240075436720291
vehicle_count_lag1,0.00019528626168515865
vehicle_count_trend_4v8,0.00014026486940029253
vehicle_count_roll4,9.69511721136262e-05
vehicle_count_roll8,9.013529204999228e-05
rainy_ratio_lag2,8.750359537861711e-05
vehicle_count_lag2,6.777157545195226e-05
holiday_ratio_lag2,6.550125294326167e-05
holiday_ratio_lag1,2.8699303936204852e-05
