gn_division,week,risk_score,top_features,explanation_text
Thalathuoya East,2024-07-29 00:00:00,0.05076090053901289,"['unemployment_rate', 'total_crimes_roll8', 'log_population']","The elevated drugs risk in Thalathuoya East during the past week is primarily driven by unemployment_rate, total_crimes_roll8, which outweighs mitigating factors such as log_population."
Thalathuoya East,2024-08-05 00:00:00,0.05724541457955226,"['unemployment_rate', 'total_crimes_roll8', 'log_population']","The elevated drugs risk in Thalathuoya East during the past week is primarily driven by unemployment_rate, total_crimes_roll8, which outweighs mitigating factors such as log_population."
Thalathuoya East,2024-08-12 00:00:00,0.07016518954894999,"['unemployment_rate', 'total_crimes_roll8', 'log_population']","The elevated drugs risk in Thalathuoya East during the past week is primarily driven by unemployment_rate, total_crimes_roll8, which outweighs mitigating factors such as log_population."
Thalathuoya East,2024-08-19 00:00:00,0.07262623013523906,"['unemployment_rate', 'total_crimes_roll8', 'log_population']","The elevated drugs risk in Thalathuoya East during the past week is primarily driven by unemployment_rate, total_crimes_roll8, which outweighs mitigating factors such as log_population."
Thalathuoya East,2024-08-26 00:00:00,0.06579081355452228,"['unemployment_rate', 'total_crimes_roll8', 'log_population']","The elevated drugs risk in Thalathuoya East during the past week is primarily driven by unemployment_rate, total_crimes_roll8, which outweighs mitigating factors such as log_population."
Thalathuoya East,2024-09-02 00:00:00,0.07454161577792609,"['unemployment_rate', 'total_crimes_roll8', 'log_population']","The elevated drugs risk in Thalathuoya East during the past week is primarily driven by unemployment_rate, total_crimes_roll8, which outweighs mitigating factors such as log_population."
Thalathuoya East,2024-09-09 00:00:00,0.08667335399810053,"['unemployment_rate', 'log_population', 'total_crimes_roll8']","The elevated drugs risk in Thalathuoya East during the past week is primarily driven by unemployment_rate, log_population, which outweighs mitigating factors such as total_crimes_roll8."
Thalathuoya East,2024-09-16 00:00:00,0.07166148443506844,"['unemployment_rate', 'total_crimes_roll8', 'log_population']","The elevated drugs risk in Thalathuoya East during the past week is primarily driven by unemployment_rate, total_crimes_roll8, which outweighs mitigating factors such as log_population."
Thalathuoya East,2024-09-23 00:00:00,0.08358055016413847,"['unemployment_rate', 'log_population', 'total_crimes_roll8']","The elevated drugs risk in Thalathuoya East during the past week is primarily driven by unemployment_rate, log_population, which outweighs mitigating factors such as total_crimes_roll8."
Thalathuoya East,2024-09-30 00:00:00,0.08421220902335419,"['unemployment_rate', 'log_population', 'total_crimes_roll8']","The elevated drugs risk in Thalathuoya East during the past week is primarily driven by unemployment_rate, log_population, which outweighs mitigating factors such as total_crimes_roll8."
Thalathuoya East,2024-10-07 00:00:00,0.027914839217737474,"['unemployment_rate', 'total_crimes_roll8', 'log_population']","The elevated drugs risk in Thalathuoya East during the past week is primarily driven by unemployment_rate, total_crimes_roll8, which outweighs mitigating factors such as log_population."
Thalathuoya East,2024-10-14 00:00:00,0.027914839217737474,"['unemployment_rate', 'total_crimes_roll8', 'log_population']","The elevated drugs risk in Thalathuoya East during the past week is primarily driven by unemployment_rate, total_crimes_roll8, which outweighs mitigating factors such as log_population."
Thalathuoya East,2024-10-21 00:00:00,0.030325553503451758,"['unemployment_rate', 'total_crimes_roll8', 'log_population']","The elevated drugs risk in Thalathuoya East during the past week is primarily driven by unemployment_rate, total_crimes_roll8, which outweighs mitigating factors such as log_population."
Thalathuoya East,2024-10-28 00:00:00,0.04384556245941597,"['unemployment_rate', 'total_crimes_roll8', 'log_population']","The elevated drugs risk in Thalathuoya East during the past week is primarily driven by unemployment_rate, total_crimes_roll8, which outweighs mitigating factors such as log_population."
Thalathuoya East,2024-11-04 00:00:00,0.08060867091111255,"['unemployment_rate', 'total_crimes_roll8', 'log_population']","The elevated drugs risk in Thalathuoya East during the past week is primarily driven by unemployment_rate, total_crimes_roll8, which outweighs mitigating factors such as log_population."
Thalathuoya East,2024-11-11 00:00:00,0.07105342445173558,"['unemployment_rate', 'total_crimes_roll8', 'log_population']","The elevated drugs risk in Thalathuoya East during the past week is primarily driven by unemployment_rate, total_crimes_roll8, which outweighs mitigating factors such as log_population."
