gn_division,week,risk_score,top_features,explanation_text
Thalathuoya East,2024-07-29 00:00:00,0.029918984951202213,"['unemployment_rate', 'log_population', 'total_crimes_roll8']","The elevated robbery risk in Thalathuoya East during the past week is primarily driven by unemployment_rate, log_population, which outweighs mitigating factors such as total_crimes_roll8."
Thalathuoya East,2024-08-05 00:00:00,0.04047309811822655,"['unemployment_rate', 'log_population', 'total_crimes_roll8']","The elevated robbery risk in Thalathuoya East during the past week is primarily driven by unemployment_rate, log_population, which outweighs mitigating factors such as total_crimes_roll8."
Thalathuoya East,2024-08-12 00:00:00,0.06789272906834158,"['unemployment_rate', 'log_population', 'total_crimes_roll8']","The elevated robbery risk in Thalathuoya East during the past week is primarily driven by unemployment_rate, log_population, which outweighs mitigating factors such as total_crimes_roll8."
Thalathuoya East,2024-08-19 00:00:00,0.0720230671837584,"['unemployment_rate', 'log_population', 'total_crimes_roll8']","The elevated robbery risk in Thalathuoya East during the past week is primarily driven by unemployment_rate, log_population, which outweighs mitigating factors such as total_crimes_roll8."
Thalathuoya East,2024-08-26 00:00:00,0.07412354794412207,"['unemployment_rate', 'log_population', 'total_crimes_roll8']","The elevated robbery risk in Thalathuoya East during the past week is primarily driven by unemployment_rate, log_population, which outweighs mitigating factors such as total_crimes_roll8."
Thalathuoya East,2024-09-02 00:00:00,0.07856795154843961,"['unemployment_rate', 'log_population', 'total_crimes_roll8']","The elevated robbery risk in Thalathuoya East during the past week is primarily driven by unemployment_rate, log_population, which outweighs mitigating factors such as total_crimes_roll8."
Thalathuoya East,2024-09-09 00:00:00,0.08568056563275571,"['unemployment_rate', 'log_population', 'total_crimes_roll8']","The elevated robbery risk in Thalathuoya East during the past week is primarily driven by unemployment_rate, log_population, which outweighs mitigating factors such as total_crimes_roll8."
Thalathuoya East,2024-09-16 00:00:00,0.10692524160797319,"['unemployment_rate', 'log_population', 'total_crimes_roll4']","The elevated robbery risk in Thalathuoya East during the past week is primarily driven by unemployment_rate, log_population, which outweighs mitigating factors such as total_crimes_roll4."
Thalathuoya East,2024-09-23 00:00:00,0.08901648751877697,"['unemployment_rate', 'log_population', 'total_crimes_roll4']","The elevated robbery risk in Thalathuoya East during the past week is primarily driven by unemployment_rate, log_population, which outweighs mitigating factors such as total_crimes_roll4."
Thalathuoya East,2024-09-30 00:00:00,0.08139833662968857,"['unemployment_rate', 'log_population', 'total_crimes_roll4']","The elevated robbery risk in Thalathuoya East during the past week is primarily driven by unemployment_rate, log_population, which outweighs mitigating factors such as total_crimes_roll4."
