gn_division,week,risk_score,top_features,explanation_text
Thalathuoya East,2024-07-29 00:00:00,0.08067804489287533,"['avg_income', 'unemployment_rate', 'log_population']","The elevated theft risk in Thalathuoya East during the past week is primarily driven by avg_income, unemployment_rate, which outweighs mitigating factors such as log_population."
Thalathuoya East,2024-08-05 00:00:00,0.07943260434301842,"['avg_income', 'unemployment_rate', 'log_population']","The elevated theft risk in Thalathuoya East during the past week is primarily driven by avg_income, unemployment_rate, which outweighs mitigating factors such as log_population."
Thalathuoya East,2024-08-12 00:00:00,0.07973027688044255,"['avg_income', 'unemployment_rate', 'log_population']","The elevated theft risk in Thalathuoya East during the past week is primarily driven by avg_income, unemployment_rate, which outweighs mitigating factors such as log_population."
Thalathuoya East,2024-08-19 00:00:00,0.07991643844844494,"['avg_income', 'unemployment_rate', 'log_population']","The elevated theft risk in Thalathuoya East during the past week is primarily driven by avg_income, unemployment_rate, which outweighs mitigating factors such as log_population."
Thalathuoya East,2024-08-26 00:00:00,0.08104223391663011,"['avg_income', 'unemployment_rate', 'log_population']","The elevated theft risk in Thalathuoya East during the past week is primarily driven by avg_income, unemployment_rate, which outweighs mitigating factors such as log_population."
Thalathuoya East,2024-09-02 00:00:00,0.12422318571429988,"['avg_income', 'unemployment_rate', 'log_population']","The elevated theft risk in Thalathuoya East during the past week is primarily driven by avg_income, unemployment_rate, which outweighs mitigating factors such as log_population."
Thalathuoya East,2024-09-09 00:00:00,0.1169145165724137,"['avg_income', 'unemployment_rate', 'log_population']","The elevated theft risk in Thalathuoya East during the past week is primarily driven by avg_income, unemployment_rate, which outweighs mitigating factors such as log_population."
Thalathuoya East,2024-09-16 00:00:00,0.09362922352826572,"['avg_income', 'unemployment_rate', 'log_population']","The elevated theft risk in Thalathuoya East during the past week is primarily driven by avg_income, unemployment_rate, which outweighs mitigating factors such as log_population."
Thalathuoya East,2024-09-23 00:00:00,0.09132858093511796,"['avg_income', 'unemployment_rate', 'log_population']","The elevated theft risk in Thalathuoya East during the past week is primarily driven by avg_income, unemployment_rate, which outweighs mitigating factors such as log_population."
Thalathuoya East,2024-09-30 00:00:00,0.09555956281556778,"['avg_income', 'unemployment_rate', 'log_population']","The elevated theft risk in Thalathuoya East during the past week is primarily driven by avg_income, unemployment_rate, which outweighs mitigating factors such as log_population."
Thalathuoya East,2024-10-07 00:00:00,0.05988220277318743,"['avg_income', 'unemployment_rate', 'log_population']","The elevated theft risk in Thalathuoya East during the past week is primarily driven by avg_income, unemployment_rate, which outweighs mitigating factors such as log_population."
Thalathuoya East,2024-10-14 00:00:00,0.058634138974398994,"['avg_income', 'unemployment_rate', 'log_population']","The elevated theft risk in Thalathuoya East during the past week is primarily driven by avg_income, unemployment_rate, which outweighs mitigating factors such as log_population."
Thalathuoya East,2024-10-21 00:00:00,0.058634138974398994,"['avg_income', 'unemployment_rate', 'log_population']","The elevated theft risk in Thalathuoya East during the past week is primarily driven by avg_income, unemployment_rate, which outweighs mitigating factors such as log_population."
Thalathuoya East,2024-10-28 00:00:00,0.058359803873482316,"['avg_income', 'unemployment_rate', 'log_population']","The elevated theft risk in Thalathuoya East during the past week is primarily driven by avg_income, unemployment_rate, which outweighs mitigating factors such as log_population."
Thalathuoya East,2024-11-04 00:00:00,0.10696746020663822,"['avg_income', 'unemployment_rate', 'log_population']","The elevated theft risk in Thalathuoya East during the past week is primarily driven by avg_income, unemployment_rate, which outweighs mitigating factors such as log_population."
Thalathuoya East,2024-11-11 00:00:00,0.10707748465651598,"['avg_income', 'unemployment_rate', 'log_population']","The elevated theft risk in Thalathuoya East during the past week is primarily driven by avg_income, unemployment_rate, which outweighs mitigating factors such as log_population."
Thalathuoya East,2024-11-18 00:00:00,0.11209543246914377,"['avg_income', 'unemployment_rate', 'log_population']","The elevated theft risk in Thalathuoya East during the past week is primarily driven by avg_income, unemployment_rate, which outweighs mitigating factors such as log_population."
Thalathuoya East,2024-11-25 00:00:00,0.10345315094051312,"['avg_income', 'unemployment_rate', 'log_population']","The elevated theft risk in Thalathuoya East during the past week is primarily driven by avg_income, unemployment_rate, which outweighs mitigating factors such as log_population."
Thalathuoya East,2024-12-02 00:00:00,0.11540716633231426,"['avg_income', 'unemployment_rate', 'log_population']","The elevated theft risk in Thalathuoya East during the past week is primarily driven by avg_income, unemployment_rate, which outweighs mitigating factors such as log_population."
Thalathuoya East,2024-12-09 00:00:00,0.11148622467148411,"['avg_income', 'unemployment_rate', 'log_population']","The elevated theft risk in Thalathuoya East during the past week is primarily driven by avg_income, unemployment_rate, which outweighs mitigating factors such as log_population."
Thalathuoya East,2024-12-16 00:00:00,0.11091632859371008,"['avg_income', 'unemployment_rate', 'log_population']","The elevated theft risk in Thalathuoya East during the past week is primarily driven by avg_income, unemployment_rate, which outweighs mitigating factors such as log_population."
Thalathuoya East,2024-12-23 00:00:00,0.10723363594884443,"['avg_income', 'unemployment_rate', 'log_population']","The elevated theft risk in Thalathuoya East during the past week is primarily driven by avg_income, unemployment_rate, which outweighs mitigating factors such as log_population."
Thalathuoya East,2024-12-30 00:00:00,0.11785278171923133,"['avg_income', 'log_population', 'unemployment_rate']","The elevated theft risk in Thalathuoya East during the past week is primarily driven by avg_income, log_population, which outweighs mitigating factors such as unemployment_rate."
Thalathuoya East,2025-01-06 00:00:00,0.1086449876325271,"['avg_income', 'year', 'log_population']","The elevated theft risk in Thalathuoya East during the past week is primarily driven by avg_income, year, which outweighs mitigating factors such as log_population."
Thalathuoya East,2025-01-13 00:00:00,0.11371567343661462,"['avg_income', 'year', 'log_population']","The elevated theft risk in Thalathuoya East during the past week is primarily driven by avg_income, year, which outweighs mitigating factors such as log_population."
