gn_division,week,risk_score,top_features,explanation_text
Thalathuoya East,2024-07-29 00:00:00,0.0014873655767698862,"['unemployment_rate', 'avg_income', 'log_population']","The elevated vehicle risk in Thalathuoya East during the past week is primarily driven by unemployment_rate, avg_income, which outweighs mitigating factors such as log_population."
Thalathuoya East,2024-08-05 00:00:00,0.0014873655767698862,"['unemployment_rate', 'avg_income', 'log_population']","The elevated vehicle risk in Thalathuoya East during the past week is primarily driven by unemployment_rate, avg_income, which outweighs mitigating factors such as log_population."
Thalathuoya East,2024-08-12 00:00:00,0.0014873655767698862,"['unemployment_rate', 'avg_income', 'log_population']","The elevated vehicle risk in Thalathuoya East during the past week is primarily driven by unemployment_rate, avg_income, which outweighs mitigating factors such as log_population."
Thalathuoya East,2024-08-19 00:00:00,0.0014873655767698862,"['unemployment_rate', 'avg_income', 'log_population']","The elevated vehicle risk in Thalathuoya East during the past week is primarily driven by unemployment_rate, avg_income, which outweighs mitigating factors such as log_population."
Thalathuoya East,2024-08-26 00:00:00,0.0014873655767698862,"['avg_income', 'unemployment_rate', 'log_population']","The elevated vehicle risk in Thalathuoya East during the past week is primarily driven by avg_income, unemployment_rate, which outweighs mitigating factors such as log_population."
Thalathuoya East,2024-09-02 00:00:00,0.0001943426941277424,"['avg_income', 'unemployment_rate', 'log_population']","The elevated vehicle risk in Thalathuoya East during the past week is primarily driven by avg_income, unemployment_rate, which outweighs mitigating factors such as log_population."
Thalathuoya East,2024-09-09 00:00:00,0.0001957964008769211,"['avg_income', 'unemployment_rate', 'log_population']","The elevated vehicle risk in Thalathuoya East during the past week is primarily driven by avg_income, unemployment_rate, which outweighs mitigating factors such as log_population."
Thalathuoya East,2024-09-16 00:00:00,0.005199633699418746,"['avg_income', 'unemployment_rate', 'log_population']","The elevated vehicle risk in Thalathuoya East during the past week is primarily driven by avg_income, unemployment_rate, which outweighs mitigating factors such as log_population."
Thalathuoya East,2024-09-23 00:00:00,0.0008663003660854142,"['avg_income', 'unemployment_rate', 'log_population']","The elevated vehicle risk in Thalathuoya East during the past week is primarily driven by avg_income, unemployment_rate, which outweighs mitigating factors such as log_population."
Thalathuoya East,2024-09-30 00:00:00,0.00019963369941874764,"['avg_income', 'unemployment_rate', 'log_population']","The elevated vehicle risk in Thalathuoya East during the past week is primarily driven by avg_income, unemployment_rate, which outweighs mitigating factors such as log_population."
