n_estimators,max_depth,min_samples_leaf,max_features,mean_f1,mean_pr_auc,mean_threshold
200,10.0,1,sqrt,0.12192249240121582,0.06999721570008875,0.542960538343819
400,10.0,1,sqrt,0.11782019651127558,0.057314813441669776,0.5253432619254681
400,20.0,1,sqrt,0.10957000957000958,0.05037310311533003,0.585035292793984
400,10.0,3,sqrt,0.10945007086972253,0.05674226066840343,0.4938121126436836
400,,5,sqrt,0.10845429080723197,0.052311990366154804,0.49900979155033925
200,20.0,1,sqrt,0.10661560661560661,0.046112624282348254,0.5696659473786873
200,10.0,3,sqrt,0.10288513881328253,0.04753514394304841,0.47177411921779516
200,,1,0.5,0.10078777541367001,0.05388049622359078,0.53
400,10.0,5,0.5,0.10014898639034435,0.05206115882209127,0.5017710129721594
200,20.0,1,0.5,0.09911751379749796,0.05232219773536298,0.5049152555911963
200,10.0,5,sqrt,0.09886715222191317,0.0477626326092093,0.4679565636343401
400,10.0,1,0.5,0.09870014023862056,0.0518791841436197,0.5310803031759751
400,10.0,5,sqrt,0.09847714269962683,0.051421087994367114,0.4502382112689885
400,,3,0.5,0.09826947735549058,0.05297819413952425,0.5185121151996152
400,20.0,3,sqrt,0.09707231040564374,0.044056325556132474,0.5527073239349364
400,20.0,1,0.5,0.09685231740210226,0.05109977371727164,0.5150951677026544
200,,5,sqrt,0.09624325718432258,0.0443080477720609,0.43608023824710046
200,10.0,5,0.5,0.09616745129603539,0.049030971326974114,0.4994490327116414
200,20.0,3,0.5,0.09613702454118124,0.05376209911637067,0.4857001559298777
400,,1,0.5,0.09576548453646334,0.05185831803437534,0.4791666666666667
400,10.0,3,0.5,0.09472993333102026,0.0533241495095651,0.5095415745813097
400,,5,0.5,0.09439219784047369,0.05208132583058317,0.5068556457052008
400,20.0,3,0.5,0.0939471603124321,0.05344849173741356,0.48748229005299554
200,10.0,1,0.5,0.09354051449639685,0.05466123033758031,0.5625111349391143
200,10.0,3,0.5,0.0923602792291463,0.052307607020790244,0.5204507605863516
200,20.0,3,sqrt,0.09122333744716637,0.03960476492275009,0.5224552766188982
200,20.0,5,sqrt,0.09118299896681313,0.045021725534188706,0.46980333772690064
400,20.0,5,sqrt,0.09069488044025888,0.04734744086624195,0.5048234273925128
200,,3,0.5,0.09035268978828527,0.05152969985004107,0.5314520502645502
200,,5,0.5,0.09005609425503075,0.05208325969511449,0.49022548418929995
400,,1,sqrt,0.08901592486729278,0.034260299941167666,0.5266666666666667
200,,1,sqrt,0.08840424455091438,0.03719036528170918,0.5383333333333333
200,20.0,5,0.5,0.08829289059174117,0.052085868884064336,0.47423155560442093
400,20.0,5,0.5,0.08820917187764539,0.053581694463300494,0.4705178438438773
400,,3,sqrt,0.08799880525686977,0.03955880253404196,0.4934253918256406
200,,3,sqrt,0.08407626924611183,0.03864472429272759,0.493553621209979
