n_estimators,max_depth,min_samples_leaf,max_features,mean_f1,mean_pr_auc,mean_threshold
400,10.0,3,0.5,0.15024193884787052,0.05190711551587864,0.5545615596560426
200,10.0,5,sqrt,0.14516053725117892,0.062397506646825564,0.5180803906863393
400,10.0,1,0.5,0.1302475377298431,0.04167912125490767,0.5341403461532358
400,,5,sqrt,0.12432591843613078,0.043151113845178724,0.44171992381179614
200,10.0,1,0.5,0.12091234274332867,0.03910927692789332,0.5653448397002202
200,10.0,5,0.5,0.1059868773056236,0.038570705994176085,0.5430010961848437
400,10.0,1,sqrt,0.10537056105028597,0.04941701589066466,0.4733306967358532
400,10.0,3,sqrt,0.10402124081369364,0.04504242429792418,0.5149495282787476
200,10.0,3,sqrt,0.10244979339091885,0.04283887076728308,0.46669506639998043
200,10.0,1,sqrt,0.101350026136506,0.048073148698346786,0.4806356315340777
200,,5,0.5,0.1010233918128655,0.030019847559420342,0.5079636902734626
400,10.0,5,sqrt,0.09740479916536254,0.04825271739765769,0.46080597045635746
200,10.0,3,0.5,0.09720347155255543,0.035063509316970935,0.5410942053507585
400,10.0,5,0.5,0.0971031746031746,0.03745616274302203,0.5404599749993931
400,20.0,5,0.5,0.09302641313716069,0.02922365572283585,0.4996175515858298
200,20.0,5,0.5,0.08308445843868772,0.027382138980202243,0.503114649886498
200,20.0,5,sqrt,0.08088764052398663,0.03176919948559142,0.4601862870061441
400,20.0,3,0.5,0.08068315294907291,0.028833868265182264,0.4813187341543082
400,20.0,5,sqrt,0.07503297205249929,0.030903387899142227,0.43414784638557097
400,,5,0.5,0.07459834757347054,0.025471028154328532,0.4846352877589239
200,,5,sqrt,0.07455330317876352,0.031776056137019094,0.4225373284257498
400,,3,0.5,0.07407006653568345,0.02622758532099963,0.47482933501683505
400,20.0,3,sqrt,0.07327091165475004,0.02669368667045352,0.44210384351129023
200,20.0,1,0.5,0.07171619541733469,0.022350599513038083,0.464261549801882
200,20.0,3,0.5,0.0705847911573184,0.026819047502553844,0.4918784762659932
200,20.0,3,sqrt,0.06997018882354618,0.027025514162723502,0.459150631433842
400,20.0,1,0.5,0.06471679755299896,0.019428995322613087,0.5006161931232329
400,,3,sqrt,0.06408067520326856,0.02387581387035312,0.430285290357217
200,,1,0.5,0.06195410938316378,0.022805334463490857,0.44166666666666665
200,,3,0.5,0.06112258068933876,0.02434623088253807,0.4920376984126984
400,20.0,1,sqrt,0.0591972193414639,0.020335582383266302,0.4423642244624854
200,,3,sqrt,0.058542531101403894,0.02194786561993957,0.40488841152413074
400,,1,0.5,0.04586272395913548,0.01655465421685765,0.48833333333333334
200,20.0,1,sqrt,0.038799281170201774,0.016380137110038103,0.44295243107929455
400,,1,sqrt,0.03823663876708922,0.013212675218394315,0.3775
200,,1,sqrt,0.03408526512781674,0.013232328277863395,0.4283333333333334
