n_estimators,max_depth,min_samples_leaf,max_features,mean_f1,mean_pr_auc,mean_threshold
400,10.0,3,0.5,0.08502963283458942,0.022556632604071505,0.5937935276303391
400,10.0,5,0.5,0.08311722378218543,0.024068933056004705,0.5821622048276539
400,20.0,5,0.5,0.07845640671727629,0.020308842588622974,0.6409914966062936
400,,5,0.5,0.07797739887581116,0.020483181322914133,0.6220122007107408
200,10.0,3,0.5,0.07751583265439241,0.020751287984681743,0.5733239750327714
200,10.0,5,sqrt,0.07673689806653795,0.02574447513101091,0.4952308049501084
200,20.0,5,0.5,0.07288267288267287,0.01832317990024455,0.6181223488353988
400,10.0,5,sqrt,0.07120381000978016,0.024641032560606037,0.4998247007927679
200,,5,0.5,0.0704783396272758,0.01929697143391659,0.5722582076148254
400,20.0,3,0.5,0.06936879545575197,0.017306852826969213,0.6360390854374632
400,10.0,3,sqrt,0.06934832756632064,0.02440192642314414,0.4888694239742913
400,10.0,1,0.5,0.06881712045870733,0.019777861729419286,0.626051571981801
200,20.0,3,0.5,0.06866327243685734,0.018367727588399857,0.6161903937108345
200,10.0,3,sqrt,0.0682205592713676,0.023208694281625215,0.49500658599580283
200,10.0,1,0.5,0.06621250707413696,0.02006155603822467,0.6073411429245411
400,,3,0.5,0.06363561789918379,0.01758194205886371,0.6296784211159211
200,10.0,1,sqrt,0.06326756888554641,0.02188233986777982,0.5084166438276952
400,10.0,1,sqrt,0.062237517600721694,0.0214336966809823,0.48955112954966634
200,,3,0.5,0.0622017217739809,0.017255657323498815,0.6152642496392496
400,,1,0.5,0.061862579049336536,0.015390871878654502,0.6666666666666666
200,20.0,5,sqrt,0.05989692522711391,0.017509101805280005,0.5576928333856732
200,,5,sqrt,0.059843904455530644,0.018464690403193196,0.5369697308832719
400,20.0,5,sqrt,0.05721832724400119,0.018013315982856343,0.5452343691000585
200,10.0,5,0.5,0.05414280117166365,0.02749360365906166,0.5827711668566088
400,20.0,1,0.5,0.05272661468471409,0.014855182230689342,0.42951196465340713
400,,5,sqrt,0.052026909992863725,0.016926990552077834,0.5268774313074776
200,,1,0.5,0.05181706110567235,0.0149316380478745,0.5599999999999999
200,20.0,1,sqrt,0.04916849792940391,0.014054900509225733,0.5879794402796583
200,20.0,1,0.5,0.04871545074722802,0.014907819484185304,0.5609016732317287
400,20.0,3,sqrt,0.04683448861801617,0.01465043620756049,0.5710085386443247
200,20.0,3,sqrt,0.0453866146848603,0.01464848474296676,0.5674266164794243
400,20.0,1,sqrt,0.042054958183990444,0.013340809548081303,0.5632189246558679
400,,3,sqrt,0.039728890877059275,0.013547034843813976,0.5246691477478908
200,,1,sqrt,0.03939743052646278,0.01259259610414821,0.5133333333333333
200,,3,sqrt,0.03858709946389999,0.013790865888535663,0.5388403610351574
400,,1,sqrt,0.037449179146724305,0.012601117520930632,0.5758333333333333
