n_estimators,max_depth,min_samples_leaf,max_features,mean_f1,mean_pr_auc,mean_threshold
200,10.0,5,0.5,0.07851534242637835,0.035212375505871356,0.38564892923469984
400,10.0,5,0.5,0.07128733675343844,0.02662165252220681,0.43123275938686595
400,10.0,1,0.5,0.0707137524386101,0.02510175941455672,0.44339671834735134
400,10.0,3,0.5,0.06551103408438978,0.022718126245006322,0.3759091547801339
200,10.0,3,0.5,0.06386190388523516,0.024840988858434134,0.36844763055348206
200,10.0,1,sqrt,0.06370752351431247,0.027771543653359366,0.39130559211946697
200,10.0,3,sqrt,0.06120260478890991,0.026662074282149298,0.38988622911884535
200,10.0,5,sqrt,0.06021779953482757,0.025649833452456656,0.4774466682479723
400,10.0,1,sqrt,0.05839383353725732,0.026864987610529856,0.3912008604867627
200,10.0,1,0.5,0.05790035313847652,0.021379284303979538,0.4257992540134817
400,10.0,5,sqrt,0.05713869180458034,0.02527033832524014,0.4038912119841777
400,20.0,1,0.5,0.04655406231733966,0.015709942815918282,0.4408853268505437
200,20.0,3,0.5,0.045038511714619915,0.017377348975625085,0.39380068880918445
400,10.0,3,sqrt,0.043714865893664134,0.02241485361380145,0.37988863100711523
400,20.0,3,0.5,0.043222499947631075,0.016319519721991676,0.4141689092554183
200,20.0,5,0.5,0.04218029073884267,0.01607171941903457,0.3690913176536296
200,20.0,1,0.5,0.04175053743300781,0.02370100786604452,0.40776317771135656
200,,5,0.5,0.04157881549367077,0.014473496319983318,0.42474865337170487
400,,5,sqrt,0.04028683065190261,0.01510634659123323,0.3456993014103249
400,20.0,5,0.5,0.03955471396789121,0.014003214784450645,0.38671910570349105
200,20.0,5,sqrt,0.038605253856934786,0.016257720170120383,0.32635710599314605
200,,5,sqrt,0.037369615715451256,0.01561575376430723,0.38375052960486594
400,20.0,5,sqrt,0.03633389498282693,0.0157233456322093,0.33961553242939413
400,,1,0.5,0.03551380615132421,0.011677624305283305,0.40833333333333327
200,20.0,3,sqrt,0.035107193691801424,0.013537351351882547,0.38364193331319624
400,20.0,3,sqrt,0.033342482762051616,0.012845224412206306,0.3469593714823022
200,,3,sqrt,0.03262174883227109,0.013627898655688359,0.36114610677804576
400,,5,0.5,0.03039377257221985,0.012958067827759693,0.43489555896173543
400,,3,sqrt,0.029817039684615566,0.012834958075109834,0.3725868525758413
200,,1,0.5,0.028906768190176332,0.011256954370534788,0.40166666666666667
200,20.0,1,sqrt,0.026886240935680317,0.012996644897880572,0.32389377799574653
400,20.0,1,sqrt,0.02605207447360147,0.012631536893525494,0.36844783289431354
200,,3,0.5,0.025283762850302774,0.010754708414571648,0.40637175324675323
400,,1,sqrt,0.024830038864543044,0.010828416326659587,0.27416666666666667
200,,1,sqrt,0.024399527508451688,0.010927876633874749,0.25333333333333335
400,,3,0.5,0.022542022624714136,0.0109989028849706,0.21182337048294497
