n_estimators,max_depth,min_samples_leaf,max_features,mean_f1,mean_pr_auc,mean_threshold
200,10.0,5,sqrt,0.10645322456467966,0.042496499358586313,0.513015247353117
200,10.0,3,sqrt,0.09964407901997573,0.037791366268901484,0.5696737031963298
400,10.0,3,sqrt,0.0967892592040408,0.04061777876575654,0.5351079043537876
400,10.0,5,sqrt,0.09481664763354904,0.03432279889048196,0.4896995183255004
200,10.0,3,0.5,0.088096110766406,0.043346525768162586,0.5212223878634084
400,10.0,3,0.5,0.08801607180625126,0.04252867448926311,0.5085392452815224
400,10.0,5,0.5,0.08782835509334119,0.03644646014093815,0.5120082145166378
400,10.0,1,0.5,0.08703010265208914,0.038854119756951126,0.5206334690399773
200,10.0,1,0.5,0.08624370725027923,0.041839723894444736,0.5172681783051648
200,10.0,5,0.5,0.08305462653288741,0.03942689768507706,0.5018991537396317
400,10.0,1,sqrt,0.0788513654367313,0.02708024433988676,0.5558878675656057
400,20.0,5,0.5,0.07757892243539956,0.026334221200346803,0.45613312410602624
400,,5,0.5,0.0766648338700371,0.027024947074990018,0.4418792626109207
400,,3,0.5,0.07626927755407413,0.02857287408525733,0.43426951058201063
200,20.0,3,0.5,0.07600700048905477,0.02955358989557033,0.3962265340074702
200,20.0,5,0.5,0.07552676042514517,0.026449546395393913,0.4384117031800257
200,10.0,1,sqrt,0.07453216374269006,0.02497720506644484,0.5603881783680005
200,,5,0.5,0.07408767824483313,0.027030073734111214,0.4504929693982362
200,20.0,1,0.5,0.07219240578559782,0.031498178620620536,0.46553591984468273
400,20.0,1,0.5,0.07127582535052823,0.02915164895243812,0.46199457022911394
200,,3,0.5,0.07061147105226856,0.02827755755257039,0.4274107142857142
200,,1,0.5,0.06928072245882898,0.024959306820798815,0.4716666666666667
400,20.0,3,0.5,0.06896514812522782,0.025729465122015165,0.43007314574079986
400,,1,0.5,0.06068834569484041,0.021865383867073592,0.46166666666666667
200,,5,sqrt,0.04285631938845414,0.014969574283867812,0.4358652909218375
200,,3,sqrt,0.0416645604279877,0.013161883979174472,0.5344177630173885
400,,5,sqrt,0.04028066561705492,0.015153399205959239,0.4724408395688517
400,20.0,5,sqrt,0.03804269729643663,0.014350025294485,0.4630698103416049
200,20.0,3,sqrt,0.037249737716383985,0.014017388609646754,0.4978333834434665
400,,3,sqrt,0.03708505393898653,0.01241705965341038,0.5288281975308979
200,20.0,5,sqrt,0.033091002704597104,0.013039114697753026,0.4320826258500659
400,20.0,3,sqrt,0.0305881377639924,0.013019760996104232,0.471140805844889
200,20.0,1,sqrt,0.029196630384795825,0.011239459303156,0.5046717619189728
400,20.0,1,sqrt,0.02904874230622705,0.011172957295347003,0.43741392065194323
200,,1,sqrt,0.026539555564874546,0.011168435821045389,0.405
400,,1,sqrt,0.025778437966554796,0.010798317103741802,0.44083333333333335
