n_estimators,max_depth,min_samples_leaf,max_features,mean_f1,mean_pr_auc,mean_threshold
200,10.0,1,0.5,0.022462856234884643,0.006341822099723795,0.24467776336151092
400,10.0,5,0.5,0.022112144972165116,0.006754670116952873,0.24056778073968485
400,20.0,5,0.5,0.02057873288767407,0.005585289763204912,0.21317002785724484
200,20.0,5,0.5,0.02021886580143057,0.005913957946798405,0.20520243863529708
400,10.0,5,sqrt,0.01990105734965381,0.005973091342303644,0.20891523370896536
200,10.0,5,0.5,0.019629924328186405,0.0068084394513661444,0.24956252223207567
400,10.0,3,0.5,0.018183646549822314,0.006539660480249592,0.23783794976760905
400,10.0,1,0.5,0.017202910130325464,0.006144359085008072,0.23220161304327733
200,10.0,3,sqrt,0.017112562013747504,0.005911600353866121,0.2267816040031622
400,20.0,1,0.5,0.016971802374320114,0.00528558550025545,0.2905445866611945
200,20.0,3,0.5,0.016614603135863038,0.005326666834989336,0.21167440290904085
400,20.0,3,0.5,0.01571112084915766,0.005070853185238433,0.23907754710049103
200,,5,0.5,0.015635088469760822,0.005030705431415088,0.21029532967032968
200,10.0,3,0.5,0.01516828038564221,0.005965287584131478,0.27246769098523366
200,,1,0.5,0.014730537672353711,0.00478822022832422,0.22
400,10.0,3,sqrt,0.014667303841905307,0.005566754998304442,0.2205411422379924
200,10.0,1,sqrt,0.014599470844227377,0.0061444088795018365,0.1985655336508383
400,10.0,1,sqrt,0.013197145383544613,0.00554830116135523,0.16628920566524164
200,20.0,1,0.5,0.013149099603736622,0.005249715444587494,0.2745817749717318
400,,1,0.5,0.01253119927818723,0.004601129916485339,0.23749999999999996
200,,3,0.5,0.012502314503035484,0.004799472293212798,0.2028249158249158
400,,3,0.5,0.01236828578814461,0.0047814943206123985,0.1933661616161616
200,20.0,5,sqrt,0.012082205763954945,0.004847933590536349,0.14035761712575964
200,20.0,1,sqrt,0.011995914755872474,0.003998840464001288,0.18410736934119473
400,,5,0.5,0.01182569182630888,0.004778186977221581,0.19990871002635704
400,20.0,5,sqrt,0.011056901274561479,0.004597875274362079,0.09968110741037846
200,,3,sqrt,0.010912167939711543,0.0041636533411120915,0.15648832562821985
200,,1,sqrt,0.010734676019321647,0.003642535014160882,0.20833333333333334
400,,3,sqrt,0.010591363300434309,0.003961856807758826,0.16112909102940196
200,20.0,3,sqrt,0.010364957771716348,0.0041649930228936025,0.15987028689470653
200,,5,sqrt,0.010191952132421243,0.004480983074399635,0.13897779965055282
400,20.0,1,sqrt,0.009829274780745524,0.004171072818356395,0.166038038855136
400,,5,sqrt,0.009700898032624165,0.004268271709790182,0.11888983563177724
400,20.0,3,sqrt,0.009030551684129029,0.004048256236729552,0.17986511936959274
400,,1,sqrt,0.008205034201612473,0.0037372732705364385,0.08083333333333333
200,10.0,5,sqrt,0.0018977732793522266,0.006701306155082211,0.24025922252460885
